,0
2025-08-20,571776.5103732761
2025-08-21,571776.5103732761
2025-08-22,571776.5103732761
2025-08-23,571968.6600173105
2025-08-24,570693.4536901229
2025-08-25,560964.7351506893
2025-08-26,566718.356912851
2025-08-27,563324.5437548198
2025-08-28,563789.4075427748
2025-08-29,562075.117189599
2025-08-30,562148.0273425018
2025-08-31,561652.5161674181
2025-09-01,558838.2929164689
2025-09-02,559227.5355062329
2025-09-03,560672.7392275926
2025-09-04,558582.5946737953
2025-09-05,558582.5946737952
2025-09-06,558582.5946737952
2025-09-07,558582.5946737952
2025-09-08,558582.5946737952
2025-09-09,558582.5946737952
2025-09-10,558582.5946737952
2025-09-11,559399.9642423718
2025-09-12,561721.700306547
2025-09-13,574308.9226559794
2025-09-14,567143.2370932297
2025-09-15,552017.7690584656
2025-09-16,557054.3558783125
2025-09-17,567895.0294885652
2025-09-18,568436.2430267637
2025-09-19,558554.9787000654
2025-09-20,567044.9477924748
2025-09-21,570129.3397320294
2025-09-22,550510.2510327138
2025-09-23,550510.2510327138
2025-09-24,550510.2510327138
2025-09-25,550510.2510327138
2025-09-26,550510.2510327138
2025-09-27,550510.2510327138
2025-09-28,550510.2510327138
2025-09-29,550510.2510327138
2025-09-30,550510.2510327138
2025-10-01,550510.2510327138
2025-10-02,550510.2510327138
2025-10-03,550510.2510327138
2025-10-04,550510.2510327138
2025-10-05,550510.2510327138
2025-10-06,550510.2510327138
2025-10-07,550510.2510327138
2025-10-08,550398.9390377032
2025-10-09,548891.934598196
